rank,name,confed,off,def,spi
143,Comoros,CAF,0.93,1.79,27.04
144,Antigua and Barbuda,CONCACAF,1.12,2.11,26.42
145,Martinique,CONCACAF,0.94,1.85,26.34
146,Fiji,OFC,0.69,1.5,26.09
147,Guyana,CONCACAF,1.13,2.22,25.06
148,Turkmenistan,AFC,0.8,1.74,24.97
149,Belize,CONCACAF,0.79,1.73,24.84
150,Suriname,CONCACAF,0.76,1.71,24.52
151,Faroe Islands,UEFA,0.78,1.75,24.4
152,Latvia,UEFA,0.78,1.77,24.08
153,Swaziland,CAF,0.62,1.61,22.71
154,Solomon Islands,OFC,0.69,1.71,22.71
155,Barbados,CONCACAF,0.52,1.51,21.62
156,New Caledonia,OFC,0.69,1.85,20.92
157,Dominica,CONCACAF,0.55,1.65,20.29
158,Puerto Rico,CONCACAF,0.74,2.0,19.89
159,Tajikistan,AFC,0.6,1.78,19.65
160,Tahiti,OFC,0.81,2.15,19.56
161,Philippines,AFC,0.75,2.12,18.74
162,India,AFC,0.6,1.86,18.65
163,South Sudan,CAF,0.72,2.09,18.45
164,Sao Tome and Principe,CAF,0.82,2.27,18.31
165,Malta,UEFA,0.63,1.96,18.02
166,Malaysia,AFC,0.73,2.16,17.83
167,Eritrea,CAF,0.75,2.25,17.16
168,St. Vincent and the Grenadines,CONCACAF,0.7,2.23,16.4
169,Singapore,AFC,0.61,2.08,16.25
170,Grenada,CONCACAF,0.68,2.22,16.04
171,Vanuatu,OFC,0.67,2.22,16.02
172,Yemen,AFC,0.56,2.02,15.99
173,Liechtenstein,UEFA,0.65,2.21,15.6
174,Mauritius,CAF,0.7,2.31,15.5
175,Gibraltar,UEFA,0.57,2.08,15.49
176,Hong Kong,AFC,0.36,1.69,15.16
177,St. Lucia,CONCACAF,0.64,2.24,15.12
178,Andorra,UEFA,0.3,1.78,12.74
179,Aruba,CONCACAF,0.64,2.76,10.68
180,Indonesia,AFC,0.67,2.84,10.51
181,Afghanistan,AFC,0.55,2.63,10.2
182,Montserrat,CONCACAF,0.81,3.24,9.65
183,Cayman Islands,CONCACAF,0.4,2.41,9.43
184,Djibouti,CAF,0.58,2.85,9.18
185,Papua New Guinea,OFC,0.6,2.88,9.16
186,Somalia,CAF,0.54,2.94,8.05
187,Bahamas,CONCACAF,0.73,3.44,7.5
188,Seychelles,CAF,0.41,2.8,7.04
189,Nepal,AFC,0.26,2.44,7.03
190,Chinese Taipei,AFC,0.49,3.02,7.02
191,Myanmar,AFC,0.38,2.74,6.96
192,Maldives,AFC,0.39,2.79,6.86
193,Bangladesh,AFC,0.2,2.31,6.8
194,French Guiana,CONCACAF,0.52,3.18,6.57
195,Mongolia,AFC,0.28,2.79,5.53
196,British Virgin Islands,CONCACAF,0.42,3.62,3.88
197,Cambodia,AFC,0.29,3.27,3.8
198,San Marino,UEFA,0.27,3.2,3.79
199,Bonaire,CONCACAF,0.37,3.59,3.5
200,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
201,Guam,AFC,0.51,4.31,2.74
202,Guadeloupe,CONCACAF,0.2,3.49,2.47
203,Anguilla,CONCACAF,0.36,4.03,2.41
204,Brunei,AFC,0.21,3.71,2.13
205,US Virgin Islands,CONCACAF,0.38,4.38,1.93
206,Sri Lanka,AFC,0.2,3.91,1.71
207,Pakistan,AFC,0.2,3.92,1.71
208,Laos,AFC,0.21,4.11,1.48
209,Bhutan,AFC,0.22,4.62,0.98
210,St. Martin,CONCACAF,0.23,4.89,0.81
211,Sint Maarten,CONCACAF,0.21,4.93,0.74
212,Tuvalu,OFC,0.38,5.62,0.7
213,Timor-Leste,AFC,0.33,5.56,0.64
214,Macau,AFC,0.2,5.11,0.6
215,Samoa,OFC,0.2,5.78,0.34
216,Tonga,OFC,0.2,6.08,0.26
